file_number,message_id,topic,author,link,domain,top_level_domain
237144,message #719576,Simple Grammar causes Infinite Loop.,Sebastian Zarnekow,https://bugs.eclipse.org/bugs/show_bug.cgi?id=347012,bugs.eclipse.org,org
237144,message #719576,Simple Grammar causes Infinite Loop.,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237144,message #719576,Simple Grammar causes Infinite Loop.,Daniel Missing name,https://bugs.eclipse.org/bugs/show_bug.cgi?id=360834,bugs.eclipse.org,org
237182,message #719643,how to import a exsiting makefile project,LiLi Mising name,http://www.gnu.org/s/coreutils/,www.gnu.org,org
237189,message #719657,org.eclipse.m2m.internal.qvt.oml.emf.util.EmfException,Ed Willink,http://www.eclipse.org/uml2/3.0.0/UML,www.eclipse.org,org
237214,message #719690,Empy many ereference is not serialized with empty content,Martin Taal,http://www.eclipse.org/emf/texo/test/model/samples/library,www.eclipse.org,org
237229,message #719710,Enabling/disabling toolbar buttons at runtime,Ric Wright,http://www.w3.org/TR/html4/strict.dtd,www.w3.org,org
237229,message #719710,Enabling/disabling toolbar buttons at runtime,Ric Wright,http://blog.eclipse-tips.com/2009/02/commands-part-5-authentication-in-rcp.html,blog.eclipse-tips.com,com
237232,message #719714,Delete and recreate file under vcs,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237240,message #719730,libhover install problem,Jeff Johnston,http://download.eclipse.org/technology/linuxtools/update-0.7,download.eclipse.org,org
237240,message #719730,libhover install problem,Jeff Johnston,http://download.eclipse.org/technology/linuxtools/update-0.5.1,download.eclipse.org,org
237240,message #719730,libhover install problem,Jeff Johnston,http://fedoraproject.org/wiki/Upgrading_Fedora_using_yum,fedoraproject.org,org
237240,message #719730,libhover install problem,Jeff Johnston,http://fedoraproject.org/wiki/How_to_use_PreUpgrade,fedoraproject.org,org
237254,message #719758,(no subject),Martin Taal,http://www.eclipse.org/emf/texo/test/model/samples/library,www.eclipse.org,org
237254,message #719758,(no subject),Martin Taal,http://www.eclipse.org/texo/Book/2,www.eclipse.org,org
237278,message #719788,Procedure for creating a node programmaticlally,Ralph Gerbig,http://wiki.eclipse.org/Graphical_Modeling_Framework/Tutorial/Part_3#Creating_a_Customization_Plug-in,wiki.eclipse.org,org
237279,message #719789,I must work with submodules - How can I change branches?,Robin Rosenberg,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356664,bugs.eclipse.org,org
237279,message #719789,I must work with submodules - How can I change branches?,Matthias Sohn,http://download.eclipse.org/egit/updates-nightly,download.eclipse.org,org
237281,message #719791,How to react to change in AutoEditStrategyProvider,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237281,message #719791,How to react to change in AutoEditStrategyProvider,Henrik Lindberg,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356262,bugs.eclipse.org,org
237282,message #719792,this._items is null or not an object,Stephan Leicht Vogt,https://bugs.eclipse.org/bugs/show_bug.cgi?id=357053,bugs.eclipse.org,org
237288,message #719806,Buckminster seems to ignore component provider,Martin Taal,http://download.eclipse.org/eclipse/updates/3.7,download.eclipse.org,org
237288,message #719806,Buckminster seems to ignore component provider,Martin Taal,http://download.eclipse.org/releases/indigo,download.eclipse.org,org
237288,message #719806,Buckminster seems to ignore component provider,Martin Taal,http://download.eclipse.org/tools/orbit/downloads/drops/R20100519200754/updateSite,download.eclipse.org,org
237288,message #719806,Buckminster seems to ignore component provider,Martin Taal,http://www.elver.org/eclipse/update,www.elver.org,org
237289,message #719807,Warning: no DTD/Schema detected for the document,Wolfgang Knauf,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
237292,message #719810,Hello world Console output,Axel Mueller,http://wiki.eclipse.org/CDT/User/FAQ#Eclipse_console_does_not_show_output_on_Windows,wiki.eclipse.org,org
237292,message #719810,Hello world Console output,Axel Mueller,http://www.eggheadcafe.com/microsoft/C/35710240/c-analog-of-setvbuf-.aspx,www.eggheadcafe.com,com
237293,message #719811,problem in swt browser widget...,Ivan Furnadjiev,https://bugs.eclipse.org/bugs/show_bug.cgi?id=334350,bugs.eclipse.org,org
237306,message #719854,[Acceleo 3]  select()  work on Acceleo 2 but not on Acceleo 3,Stephane Begaudeau,http://stephanebegaudeau.tumblr.com,stephanebegaudeau.tumblr.com,com
237306,message #719854,[Acceleo 3]  select()  work on Acceleo 2 but not on Acceleo 3,Stephane Begaudeau,http://docs.obeonetwork.com/acceleo,docs.obeonetwork.com,com
237316,message #719869,Placing own errors in Problems or Error Log View,Dani Megert,http://www.eclipse.org/articles/Article-Mark%20My%20Words/mark-my-words.html,www.eclipse.org,org
237328,message #719901,Windows 7: how to open e-mail client,Grant Gayed,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Platform&component=SWT&bug_severity=enhancement,bugs.eclipse.org,org
237328,message #719901,Windows 7: how to open e-mail client,Grant Gayed,http://java.sun.com/developer/technicalArticles/J2SE/Desktop/javase6/desktop_api/,java.sun.com,com
237329,message #719902,Recommenders 0.3 is out,Marcel Bruch,http://goo.gl/AIezI,goo.gl,gl
237329,message #719902,Recommenders 0.3 is out,Marcel Bruch,http://goo.gl/u64GA,goo.gl,gl
237329,message #719902,Recommenders 0.3 is out,Marcel Bruch,http://goo.gl/Wi26V,goo.gl,gl
237329,message #719902,Recommenders 0.3 is out,Marcel Bruch,http://goo.gl/oPUQR,goo.gl,gl
237334,message #719913,Patterns - DeleteFeature hasDone problem,Volker Wegert,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356090,bugs.eclipse.org,org
237339,message #719918,Output extra attributes when serializing xml,Martin Taal,http://www.eclipse.org/emf/texo/test/model/samples/library,www.eclipse.org,org
237339,message #719918,Output extra attributes when serializing xml,Martin Taal,http://www.eclipse.org/texo/Book/2,www.eclipse.org,org
237345,message #719940,Documentation on writing Xtend2 Template,Chandan ,http://www.eclipse.org/Xtext/documentation/Xbase%20Language%20Specification.pdf,www.eclipse.org,org
237345,message #719940,Documentation on writing Xtend2 Template,Joerg Reichert,http://code.google.com/a/eclipselabs.org/p/lwc11-xtext/,code.google.com,com
237354,message #719974,How to access to a SWTBotTreeItem CellRenderer?,Ketan Padegaonkar,http://goo.gl/r2757,goo.gl,gl
237356,message #719984,Removing remove,Hernan Gonzalez,http://www.eclipse.org/forums/index.php/mv/msg/234410/720417/#msg_720417,www.eclipse.org,org
237370,message #720018,OCL and strings,Ed Willink,http://gres.uoc.edu/OCL2011/pubs/ocl2011_submission_11.pdf,gres.uoc.edu,edu
237370,message #720018,OCL and strings,Ed Willink,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356573,bugs.eclipse.org,org
237378,message #720030,SF Eclipse MeetUp at TRUSTe / Socialize (8/25) on Vimeo,Daniel Parrillo,http://vimeo.com/28225638,vimeo.com,com
237378,message #720030,SF Eclipse MeetUp at TRUSTe / Socialize (8/25) on Vimeo,Daniel Parrillo,http://player.vimeo.com/video/28225638?title=0&amp,player.vimeo.com,com
237378,message #720030,SF Eclipse MeetUp at TRUSTe / Socialize (8/25) on Vimeo,Daniel Parrillo,http://www.linkedin.com/in/strategi,www.linkedin.com,com
237378,message #720030,SF Eclipse MeetUp at TRUSTe / Socialize (8/25) on Vimeo,Daniel Parrillo,http://www.examiner.com/x-19521-SF-Job-Recruiting-Examiner,www.examiner.com,com
237399,message #720073,How to update text in comments?,Alex Ruiz,http://code.google.com/p/protobuf-dt/source/browse/com.google.eclipse.protobuf/src/com/google/eclipse/protobuf/Protobuf.xtext,code.google.com,com
237399,message #720073,How to update text in comments?,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237410,message #720092,Semantic/significant Whitespace,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237421,message #720106,[CLI] Installation with p2.director,Michael Pellaton,https://code.google.com/a/eclipselabs.org/p/da4e/,code.google.com,com
237423,message #720108,Different Defines in Different Folders,Andrew Gvozdev,http://wiki.eclipse.org/CDT/Developer/FAQ#How_do_I_contribute_Include_.26_Library_paths_to_a_project_configuration.3F,wiki.eclipse.org,org
237436,message #720124,RAP 1.5 | Deploy on Linux,Ivan Furnadjiev,http://www.eclipse.org/downloads/?osType=linux,www.eclipse.org,org
237440,message #720128,jar files for accessing existing connection profile,Brian Fitzpatrick,http://www.eclipse.org/forums/index.php/mv/msg/237444/724655/#msg_724655,www.eclipse.org,org
237441,message #720129,How can I get more information about why a pull failed,Chris Goldthorpe,http://download.eclipse.org/egit/updates-nightly/,download.eclipse.org,org
237441,message #720129,How can I get more information about why a pull failed,Chris Goldthorpe,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356233,bugs.eclipse.org,org
237445,message #720133,"How to change the text ""Xtext Check"" from markers?",Sebastian Zarnekow,https://bugs.eclipse.org/bugs/show_bug.cgi?id=351963,bugs.eclipse.org,org
237445,message #720133,"How to change the text ""Xtext Check"" from markers?",Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237503,message #720212,Changelogs of xtext,Joerg Reichert,http://www.eclipse.org/Xtext/documentation/indigo/new_and_noteworthy.php,www.eclipse.org,org
237503,message #720212,Changelogs of xtext,Joerg Reichert,https://bugs.eclipse.org/bugs/buglist.cgi?query_format=advanced&version=unspecified&component=Xtext&target_milestone=SR2&product=TMF&classification=Modeling,bugs.eclipse.org,org
237503,message #720212,Changelogs of xtext,Sven Efftinge,http://goo.gl/X7Gau,goo.gl,gl
237503,message #720212,Changelogs of xtext,Sven Efftinge,http://goo.gl/sw3qW,goo.gl,gl
237507,message #720216,Proxy & Lazy Load on Many-To-On Association,Martin Taal,http://docs.jboss.org/hibernate/core/3.6/reference/en-US/html_single/#performance-fetching-proxies,docs.jboss.org,org
237507,message #720216,Proxy & Lazy Load on Many-To-On Association,Martin Taal,http://wiki.eclipse.org/Texo,wiki.eclipse.org,org
237517,message #720228,Tomcat + BIrt,Michael Williams,http://www.birt-exchange.org,www.birt-exchange.org,org
237518,message #720229,Error Resolving org.sl4j.*,Russell Bateman,http://www.slf4j.org/download.html,www.slf4j.org,org
237526,message #720247,Problem with auto-complete in eclipse,Ketan Padegaonkar,http://swtbot.com/cheat-sheet/#change_timeout_value,swtbot.com,com
237530,message #720255,[CDO] how to use Blob and Clob,Eike Stepper,http://www.eclipse.org/forums/index.php?t=getfile&amp,www.eclipse.org,org
237530,message #720255,[CDO] how to use Blob and Clob,Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
237530,message #720255,[CDO] how to use Blob and Clob,Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
237530,message #720255,[CDO] how to use Blob and Clob,Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
237533,message #720261,(no subject),Mauro Molinari,http://download.eclipse.org/webtools/downloads/,download.eclipse.org,org
237533,message #720261,(no subject),Mauro Molinari,http://download.eclipse.org/webtools/repository/indigo,download.eclipse.org,org
237533,message #720261,(no subject),Nitin Dahyabhai,https://bugs.eclipse.org/bugs/enter_bug.cgi?classification=WebTools,bugs.eclipse.org,org
237535,message #720263,(no subject),Eike Stepper,https://bugs.eclipse.org/bugs/show_bug.cgi?id=324506,bugs.eclipse.org,org
237535,message #720263,(no subject),Eike Stepper,https://bugs.eclipse.org/bugs/show_bug.cgi?id=308136,bugs.eclipse.org,org
237535,message #720263,(no subject),Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
237535,message #720263,(no subject),Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
237535,message #720263,(no subject),Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
237536,message #720265,[CDO] folder concept,Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
237536,message #720265,[CDO] folder concept,Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
237536,message #720265,[CDO] folder concept,Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
237546,message #720281,CRLF for Windows files,Dani Megert,https://bugs.eclipse.org/301775,bugs.eclipse.org,org
237551,message #720288,[CDO] Exception with queryXRefs and teneo Annotation @Transient,Christophe Bouhier,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356181,bugs.eclipse.org,org
237552,message #720289,(no subject),Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
237552,message #720289,(no subject),Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
237552,message #720289,(no subject),Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
237552,message #720289,(no subject),Eike Stepper,http://wiki.eclipse.org/CDO/Server_Configuration_Reference#Property_supportingAudits,wiki.eclipse.org,org
237559,message #720310,problem with lexing terminal rules,Henrik Lindberg,http://henrik-eclipse.blogspot.com/2010/05/implementing-date-support-with-quickfix.html,henrik-eclipse.blogspot.com,blogspot.com
237559,message #720310,problem with lexing terminal rules,Kai Kreuzer,http://www.xtext.org/example/mydsl/MyDsl,www.xtext.org,org
237562,message #720323,Sass/SCSS editor support (feature request),Reinhardt Christiansen,https://ducfilan.wordpress.com/2017/01/25/how-to-auto-compile-sassscss-files-in-eclipse/comment-page-1/,ducfilan.wordpress.com,com
237571,message #720334,Enabling hooks in EGit,Stefan Lay,https://bugs.eclipse.org/bugs/show_bug.cgi?id=299315,bugs.eclipse.org,org
237573,message #720337,(how) can I use env vars in a test?,Alexandra Schladebeck,http://help.eclipse.org/indigo/topic/org.eclipse.jubula.client.ua.help/html/manual/node111.html#TasksSystemVariables,help.eclipse.org,org
237576,message #720340,Virgo 3 and Virgo IDE,Chris Frost,http://wiki.eclipse.org/Virgo/Tooling,wiki.eclipse.org,org
237578,message #720348,how do cross reference names work,gary s thompson,http://www.eclipse.org/forums/index.php/mv/msg/237321/719888/#msg_719888,www.eclipse.org,org
237578,message #720348,how do cross reference names work,gary s thompson,http://blog.efftinge.de/2009/01/xtext-scopes-and-emf-index.html,blog.efftinge.de,de
237578,message #720348,how do cross reference names work,Christian Dietrich,http://christiandietrich.wordpress.com/2011/07/17/xtext-2-0-and-uml/,christiandietrich.wordpress.com,com
237582,message #720353,Problems extending Xbase with XText 2.0.1,Sven Efftinge,http://download.itemis.com/distros/eclipse-SDK-3.5.2-xtext-2.0-targetplatform-win32-x86_64.zip,download.itemis.com,com
237588,message #720363,[SOLVED] How to CLOSE a console View?,Marco Lopes,http://stackoverflow.com/questions/7251475/eclipse-how-to-close-a-console-view/7348576#7348576,stackoverflow.com,com
237591,message #720369,Release build confusion: How to identify?,Marco Lopes,http://download.eclipse.org/eclipse/downloads/drops/R-3.7-201106131736/,download.eclipse.org,org
237591,message #720369,Release build confusion: How to identify?,Marco Lopes,http://www.eclipse.org/downloads/,www.eclipse.org,org
237592,message #720372,EGit keyboard handlling exception,Matthias Sohn,https://bugs.eclipse.org/bugs/show_bug.cgi?id=321739,bugs.eclipse.org,org
237594,message #720379,External component repository,Thomas Hallgren,http://download.eclipse.org/technology/nebula/calendarcombo/update-N/,download.eclipse.org,org
237594,message #720379,External component repository,Thomas Hallgren,http://download.eclipse.org/technology/nebula/pshelf/update-N/,download.eclipse.org,org
237594,message #720379,External component repository,Thomas Hallgren,http://download.eclipse.org/technology/nebula/compositetable/update-N/,download.eclipse.org,org
237594,message #720379,External component repository,Robert Gruendler,http://www.eclipse.org/forums/index.php/t/237823/,www.eclipse.org,org
237605,message #720409,[CDO] Multiple version edition & Parents version,Eike Stepper,http://www.esc-net.de,www.esc-net.de,de
237605,message #720409,[CDO] Multiple version edition & Parents version,Eike Stepper,http://thegordian.blogspot.com,thegordian.blogspot.com,blogspot.com
237605,message #720409,[CDO] Multiple version edition & Parents version,Eike Stepper,http://twitter.com/eikestepper,twitter.com,com
237618,message #720446,Using Buckminster with Ivy dependency declarations,Thomas Hallgren,http://git.eclipse.org/c/buckminster/buckminster.git/,git.eclipse.org,org
237622,message #720454,"FeatureMap, SetCommand, and dynamic attributes",Mickael Istria - away until August 14th,http://mickaelistria.wordpress.com,mickaelistria.wordpress.com,com
237622,message #720454,"FeatureMap, SetCommand, and dynamic attributes",Mickael Istria - away until August 14th,http://twitter.com/#!/mickaelistria,twitter.com,com
