file_number,message_id,title,author
83161,message #258157,Force Compiler compliance level to 1.3 when creating new workspaces,Eclipse User
83162,message #258158,How to make JLabel's non-local?,Eclipse User
83163,message #258160,Error loading the sample plug-in SelectionView,Eclipse User
83164,message #258166,unittest with eclipse plugin,No real name
83165,message #258168,[Plugins] How can I reference the same images in plugin.xml and plugin's code?,Michal Tkacz
83166,message #258176,IPlatformRunnable deprecated?,Eclipse User
83167,message #258178,programatically cascade refactorings,Ioana Verebi
83168,message #258187,Unable to set white foreground color (text editor),Eclipse User
83169,message #258189,Can't start 3.0 on Win 98,Eclipse User
83170,message #258197,Value of a field for an IAnnotation with K_QUALIFIED_NAME pair value,kiril mitov
83171,message #258201,How to get affected IJavaElements for rename refactorings?,MÃ¡rio GuimarÃ£es
83172,message #258204,Checking out from a CVS repository with leading spaces in filenames,Nick Coghlan
83173,message #258205,Static imports (JUnit),Lars Vogel
83174,message #258209,Display the problems related to a Java project,Lars Vogel
83175,message #258210,noob question,Eclipse User
83176,message #258214,Simple Runtime report example,Eclipse User
83177,message #258216,can i open help content in the main workbench?,Eclipse User
83178,message #258220,Any idea why IAction.setEnabled wont work?,Eclipse User
83179,message #258228,What replaces deprecated IWorkbenchActionConstants?,Eclipse User
83180,message #258229,[apt] Preserving result between processor runs,Robert Munteanu
83181,message #258232,FTP & WebDav Plugin doesn't work since M8,Eclipse User
83182,message #258236,openEditor in 3.0,Eclipse User
83183,message #258237,How to disable wrapping for assignments?,James Adams
83184,message #258241,Test plugins with Java projects,Tomas Pollak
83185,message #258244,openEditor Problems With Eclipse 3.0,Eclipse User
83186,message #258246,JAVA and dataset parameter,Nicola
83187,message #258250,Re: JAVA and dataset parameter,Nicola
83188,message #258251,[ANN] Running Man Patch,Markus Gebhard
83189,message #258252,Installation of Eclipse in x64 Vista OS Not success,Eclipse User
83190,message #258257,Weird plugin classloading problem (I think),Paul MacRory
83191,message #258258,Ajax functionality in eclipse,Eclipse User
83192,message #258262,Java - Build Dynamic Table (BIRT) tutorial,Eclipse User
83193,message #258263,No event occured at ScaleFieldEditor with mouse wheel,Satoshi OGATA
83194,message #258265,[Local variables not available] problem with debugger,Mahim Lakhani
83195,message #258266,Macintosh OS X and Help Server - NEWBIE,J Michael Dean
83196,message #258268,Eclipse + Cygwin + Contiki RTOS,Eclipse User
83197,message #258270,hide border for Birt viewer in IFrame,Philipp Tiedt
83198,message #258274,emf for birt,Eclipse User
83199,message #258275,Extremely slow APT,J.-P. Pellet
83200,message #258281,How to make editor resource content type aware?,Eclipse User
83201,message #258282,Problem with valueData of type date,Philipp Tiedt
83202,message #258283,Can't get a servlet to work,Eclipse User
83203,message #258286,Running  Build Dynamic Table (BIRT) tutorial,Eclipse User
83204,message #258289,SWT 3.0: CTabFolder old appearance,Eclipse User
83205,message #258295,launching native apps and redirecting stdout to a console view,Vladimir Blagojevic
83206,message #258296,how to share a project Windows<->Mac?,Eclipse User
83207,message #258297,ViewPart question,Eclipse User
83208,message #258300,"Bug in the ""Report Loading Screen""",Eclipse User
83209,message #258302,Experience behind Eclipse,Daniel KrÃ¼gler
83210,message #258305,Problems with Classpaths?,Linda
83211,message #258310,ViewPart listener,Eclipse User
83212,message #258315,proxy authentication for install/update,Eclipse User
83213,message #258321,Eclipse 3.3.2 on SUSE Linux 10,Karl Krasnowsky
83214,message #258329,Trouble Casting as IFunction,Eclipse User
83215,message #258330,BIRT 2.2.1: Web Viewer deletes report directory?,Eclipse User
83216,message #258331,Running test framework on Linux,Eclipse User
83217,message #258332,Error on plug-in installation with eclipse 3.0,Eclipse User
83218,message #258336,Local History: State not valid or has expired,Eclipse User
83219,message #258337,Related IFunction Cast Problem,Eclipse User
83220,message #258342,Error remotely debugging:  VMDisconnectedException: Got IOException,Sasi Shan
83221,message #258344,Mouse wheel,Jesper Nordenberg
83222,message #258348,Problems with inclusion patterns,Eclipse User
83223,message #258353,BIRT 2.2.1 Memory Issues,Scott Rosenbaum
83224,message #258366,Re: JAVA and dataset parameter,Scott Rosenbaum
83225,message #258367,Step Over not pausing,Eclipse User
83226,message #258372,Need help in running Junit test cases,ying
83227,message #258373,CVS core plug-in bug,Darren Hurt
83228,message #258377,3.0 org.eclipse.jdt/JAVA not exits ?,Eclipse User
83229,message #258378,Autocorrecting to Greek,Eclipse User
83230,message #258389,Creating a link to the Eclipse welcome page from another products welcome page,Darren Hurt
83231,message #258392,Programmatically accessing synchronization/delta information,Eclipse User
83232,message #258395,Comments preventing AST node deletion,Muhammad Alsebaey
83233,message #258396,PLEASE! Navigator filter by Simple project programmaticly,Eclipse User
83234,message #258402,CPU/Memory leak in Local History feature?,Eclipse User
83235,message #258403,Re: JAVA and dataset parameter,Scott Rosenbaum
83236,message #258404,"javac compiles, eclipse doesn't",Eclipse User
83237,message #258410,inclusion and exclusion pattern resolutions,Eclipse User
83238,message #258411,Importing templates,Laurent Duperval
83239,message #258417,Changing the default help page in a product,Robbie Jameson
83240,message #258422,finding all packages referred to by a compilation unit,Fredrik Robertssen
83241,message #258424,Retrieving all classes from IProject,Eclipse User
83242,message #258426,How to suppress log files with no entries...,Eclipse User
83243,message #258430,dataset reuse,Eclipse User
